epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,637.312,1.49819,3.37388,1.21108,0.00361,0.9881,0.50731,0.25768,1.37412,4.3035,0.97886,0.00045009,0.00045009,0.00045009
2,1442.71,1.46807,2.43206,1.29083,1,0.13568,0.71936,0.40479,1.47357,3.89833,1.20017,0.000898696,0.000898696,0.000898696
3,2133.1,1.47268,2.26568,1.28739,0.65696,0.6059,0.76074,0.38971,1.58695,3.59559,1.27044,0.00132882,0.00132882,0.00132882
4,2755.74,1.43988,2.04511,1.24784,0.78367,0.81061,0.90338,0.49718,1.50253,2.69537,1.26085,0.00156798,0.00156798,0.00156798
5,3358.9,1.43972,1.92107,1.26403,0.70105,0.72481,0.68976,0.37089,1.36872,3.50963,1.27188,0.00153497,0.00153497,0.00153497
6,3960.36,1.43407,1.73422,1.30171,0.75946,0.88095,0.81634,0.43968,1.34989,2.80497,1.3306,0.00150197,0.00150197,0.00150197
7,4561.58,1.49458,1.77177,1.29485,0.71314,0.87456,0.80707,0.46188,1.44177,2.82945,1.29877,0.00146896,0.00146896,0.00146896
8,5170.87,1.39107,1.67798,1.25606,0.71151,0.84573,0.77345,0.40978,1.38695,2.54455,1.34664,0.00143595,0.00143595,0.00143595
9,5772.16,1.33007,1.46552,1.24034,0.90178,0.91755,0.91639,0.55127,1.2716,1.59017,1.20316,0.00140295,0.00140295,0.00140295
10,6386.62,1.43169,1.60607,1.27923,0.90488,0.8878,0.93044,0.55992,1.28859,1.78029,1.23587,0.00136994,0.00136994,0.00136994
11,7119.48,1.31694,1.44712,1.20598,0.95961,0.85227,0.92519,0.53625,1.31007,1.59789,1.18824,0.00133693,0.00133693,0.00133693
12,7725.84,1.30834,1.34179,1.19868,0.90035,0.89925,0.95778,0.53536,1.4325,1.54789,1.23952,0.00130393,0.00130393,0.00130393
13,8331.56,1.35043,1.31501,1.24813,0.9431,0.88846,0.96669,0.5297,1.25483,1.31788,1.16457,0.00127092,0.00127092,0.00127092
14,8936.77,1.27293,1.23707,1.18897,0.95981,0.92857,0.96549,0.5971,1.15573,1.22643,1.16231,0.00123791,0.00123791,0.00123791
15,9541.92,1.31065,1.25757,1.22452,0.91393,0.94509,0.96473,0.59288,1.20218,1.2547,1.19323,0.00120491,0.00120491,0.00120491
16,10152.2,1.31799,1.17583,1.20682,0.98919,0.94114,0.9691,0.61725,1.212,1.18368,1.18225,0.0011719,0.0011719,0.0011719
17,10932.4,1.29214,1.21811,1.21444,0.8722,0.92957,0.91524,0.57924,1.30918,1.27264,1.2114,0.00113889,0.00113889,0.00113889
18,11628.2,1.26446,1.03623,1.18655,0.89684,0.92579,0.91711,0.58615,1.32816,1.37811,1.23222,0.00110589,0.00110589,0.00110589
19,12246,1.17924,1.02655,1.17304,0.95034,0.94187,0.93064,0.57273,1.23855,1.05431,1.18999,0.00107288,0.00107288,0.00107288
20,12871.9,1.24819,1.02319,1.18023,0.94222,0.94048,0.96881,0.62268,1.20347,1.04709,1.18704,0.00103987,0.00103987,0.00103987
21,13529.2,1.31001,1.01765,1.20597,0.90923,0.92857,0.88079,0.56174,1.23848,1.16514,1.17399,0.00100687,0.00100687,0.00100687
22,14179.5,1.28407,1.09381,1.26698,0.90234,0.91103,0.90064,0.53732,1.19883,1.12123,1.1546,0.000973861,0.000973861,0.000973861
23,14845,1.23846,0.95572,1.2098,0.95211,0.93058,0.93844,0.61104,1.17522,1.00204,1.14814,0.000940855,0.000940855,0.000940855
24,15484.3,1.22943,0.95599,1.19121,0.91059,0.92823,0.90905,0.57582,1.28859,1.06657,1.17752,0.000907848,0.000907848,0.000907848
25,16134.6,1.28389,0.97655,1.21593,0.95114,0.93157,0.95637,0.58794,1.22189,0.92011,1.14069,0.000874842,0.000874842,0.000874842
26,16762,1.22511,0.90938,1.18074,0.93873,0.94048,0.9489,0.5755,1.2852,0.83884,1.16646,0.000841835,0.000841835,0.000841835
27,17403.5,1.18699,0.88895,1.15129,0.95265,0.94109,0.95741,0.60311,1.2791,0.84576,1.17665,0.000808828,0.000808828,0.000808828
28,18047.2,1.18286,0.83378,1.13644,0.95348,0.94048,0.93406,0.57444,1.37376,0.90304,1.21687,0.000775822,0.000775822,0.000775822
29,18746.9,1.25186,0.85728,1.18289,0.9668,0.94191,0.97985,0.64749,1.31897,0.85477,1.17653,0.000742815,0.000742815,0.000742815
30,19419,1.21702,0.81399,1.14578,0.95269,0.94048,0.97366,0.63905,1.35149,0.84061,1.18667,0.000709809,0.000709809,0.000709809
31,20082.8,1.17807,0.81047,1.15097,0.94939,0.93346,0.9534,0.6065,1.19099,0.84652,1.1424,0.000676802,0.000676802,0.000676802
32,20744.2,1.25491,0.84836,1.18034,0.95261,0.94162,0.95498,0.60214,1.20735,0.85008,1.16277,0.000643795,0.000643795,0.000643795
33,21661.3,1.22956,0.82308,1.19838,0.95277,0.94048,0.95982,0.63066,1.30544,0.83718,1.20981,0.000610789,0.000610789,0.000610789
